epoch,train_loss,test_loss
1,0.9982748012542725,0.9906674958765507
2,0.9924929165840148,0.9882080778479576
3,0.9885084338188171,0.9793835394084454
4,0.9676819024085999,0.9412637408822775
5,0.945214928150177,0.9048579037189484
6,0.9223052763938904,0.8804236892610788
7,0.8662582049369812,0.7919980380684137
8,0.8029029970169067,0.7029683412984014
9,0.7561145267486572,0.6821302864700556
10,0.7554936723709107,0.6566091757267714
11,0.7170348279476165,0.719372758641839
12,0.7213999783992767,0.6262227799743414
13,0.7124643776416778,0.7799697145819664
14,0.7897398791313172,0.7432342581450939
15,0.7609317483901977,0.7534480709582567
16,0.7196631617546082,0.6343387523666024
17,0.7206606137752533,0.6631704932078719
18,0.7007810158729553,0.6726788319647312
19,0.7029784889221191,0.6518353624269366
20,0.70981529545784,0.6417004959657788
21,0.6948511426448822,0.6226089932024479
22,0.6805885379314423,0.6621374906972051
23,0.6968710625171661,0.6207352438941598
24,0.6837826268672943,0.6396617339923978
25,0.6875087180137635,0.660181968472898
26,0.6751087086200714,0.624123839661479
27,0.6666185412406921,0.6007992932572961
28,0.680098429441452,0.6140656741335988
29,0.6751459910869598,0.6154148560017347
30,0.6786749770641327,0.6171317538246512
31,0.6793019073009491,0.6281831040978432
32,0.6813702857494355,0.6316428435966372
33,0.6797815005779266,0.6134065538644791
34,0.6786047501564025,0.6827024929225445
35,0.6672605879306793,0.67194639518857
36,0.6810753476619721,0.6025015991181135
37,0.6735731496810913,0.6048346422612667
38,0.6776093919277191,0.6168437842279673
39,0.6632531037330628,0.620735508389771
40,0.6588330428600311,0.6110053975135088
41,0.6645682017803192,0.6177284009754658
42,0.6761428234577179,0.5998443895950913
43,0.6655771353244782,0.5845099026337266
44,0.6702618732452392,0.6087643727660179
45,0.6709629056453705,0.6438016667962074
46,0.6592477242946625,0.6350634275004268
47,0.6672919743061065,0.6258425638079643
48,0.6595059261322022,0.6148686809465289
49,0.6731379642486572,0.6116465842351317
50,0.664457781791687,0.6716865822672844
51,0.6688981766700745,0.638327888213098
52,0.6731064014434814,0.6222407128661871
